SeqName	Length	Cys	NT	NR	RefSeq	SwissProt	KOALAKEGG	Hits	PFAM	SignalP?	Allergenic?	Conserved?	GO ?	EC	Up in males/larvae?	Class
SSAE_00029	1340	3	Bacillus rossius retrotransposon complete sequence	reverse transcriptase	gi|861624704|gb|KMQ88340.1|reverse transcriptase [Lasius niger]	POLR_DROME Retrovirus-related Pol poly from type-2 retrotransposable element R2DM OS=Drosophila melanogaster GN=pol PE=3 SV=1	none	blasted	no	No	Allergenic	conserved	F:nucleic acid binding; F:RNA-directed DNA polymerase activity; F:zinc ion binding; F:metal ion binding; P:RNA-dependent DNA biosynthetic process	none	no	Allergenic conserved transcript 
SSAE_00030	566	4	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_00031	429	3	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	no	unknown Secreted conserved transcript 
SSAE_00032	531	3	Monomorium pharaonis gamma-aminobutyric acid receptor subunit beta (LOC105839323) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00033	433	1	Vollenhovia emeryi golgin subfamily A member 6 6 (LOC105556381) mRNA	golgin subfamily A member 6 6	gi|322798962|gb|EFZ20431.1|hypothetical protein SINV_04343, partial [Solenopsis invicta]	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_00034	1329	8	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00035	629	3	NA	hypothetical protein SINV_03094, partial	gi|322795041|gb|EFZ17889.1|hypothetical protein SINV_03094, partial [Solenopsis invicta]	NA	none	blasted	no	No	Allergenic	-	C:membrane	none	no	Allergenic  
SSAE_00036	898	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00037	493	4	Vitis vinifera contig whole genome shotgun sequence	Retrovirus-related Pol poly from transposon TNT 1-94	gi|307176423|gb|EFN65994.1|Retrovirus-related Pol polyprotein from transposon TNT 1-94, partial [Camponotus floridanus]	POLX_TOBAC Retrovirus-related Pol poly from transposon TNT 1-94 OS=Nicotiana tabacum PE=2 SV=1	none	blasted	no	Secreted	Allergenic	-	F:binding	none	no	Secreted Allergenic  
SSAE_00038	1002	7	Solenopsis invicta uncharacterized LOC105206427 (LOC105206427) mRNA	PREDICTED: uncharacterized protein LOC105206427, partial	gi|751240385|ref|XP_011174227.1|PREDICTED: uncharacterized protein LOC105206427, partial [Solenopsis invicta]	NA	none	blasted	no	No	Allergenic	-	none	none	no	Allergenic  
SSAE_00039	757	8	Wasmannia auropunctata EMSY (LOC105456268) transcript variant mRNA	BRCA2-interacting transcriptional repressor EMSY	gi|746855997|ref|XP_011058679.1|PREDICTED: protein EMSY [Acromyrmex echinatior]	NA	none	blasted	no	No	no	conserved	regulation of transcription DNA-templated	none	no	conserved transcript 
SSAE_00040	479	5	Pogonomyrmex barbatus Fanconi anemia group J -like (LOC105427592) transcript variant mRNA	Fanconi anemia group J -like isoform X2	gi|751219076|ref|XP_011162607.1|PREDICTED: Fanconi anemia group J protein-like [Solenopsis invicta]	FANCJ_CHICK Fanconi anemia group J homolog OS=Gallus gallus GN=BRIP1 PE=2 SV=1	none	blasted	no	Secreted	no	conserved	F:hydrolase activity	none	no	Secreted conserved transcript 
SSAE_00041	742	5	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00042	368	0	NA	NA	NA	NA	potassium voltage-gated channel Shab-related subfamily B member 1	blasted	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00044	371	6	Solenopsis invicta uncharacterized LOC105206518 (LOC105206518) mRNA	NA	NA	NA	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	blasted	no	Secreted	Allergenic	-	none	none	no	Secreted Allergenic 
SSAE_00045	916	3	Trachymyrmex cornetzi uncharacterized LOC108762643 (LOC108762643) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	Unrelated	unrelated Allergenic conserved transcript 
SSAE_00046	910	7	Wasmannia auropunctata uncharacterized LOC105462751 (LOC105462751) ncRNA	NA	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_00047	246	3	Mycocepurus goeldii voucher USNM:ENT:00538752 28S ribosomal RNA sequence	10 kda secreted	gi|607351793|gb|EZA46947.1|hypothetical protein X777_00562 [Cerapachys biroi]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00048	1045	0	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00049	871	4	Monomorium pharaonis ABC transporter G family member 20-like (LOC105828570) transcript variant mRNA	ABC transporter G family member 20-like isoform X1	gi|322801910|gb|EFZ22463.1|hypothetical protein SINV_02759, partial [Solenopsis invicta]	ABCGN_DICDI ABC transporter G family member 23 OS=Dictyostelium discoideum GN=abcG23 PE=3 SV=2	none	blasted	ABC_tran         	No	no	conserved	F:nucleotide binding; C:membrane; ATP binding	Adenosinetriphosphatase,Nucleoside-triphosphate phosphatase	no	conserved ABC_tran Adenosinetriphosphatase,Nucleoside-triphosphate phosphatase 
SSAE_00050	575	2	Wasmannia auropunctata nuclear receptor subfamily 2 group F member 6-like (LOC105450785) mRNA	NA	NA	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_00051	248	2	Solenopsis invicta 15 kDa seleno (LOC105201862) transcript variant mRNA	15 kDa seleno	gi|751229885|ref|XP_011168427.1|PREDICTED: 15 kDa selenoprotein [Solenopsis invicta]	NA	none	blasted	no	Secreted	no	conserved	none	none	no	Secreted conserved transcript 
SSAE_00052	566	4	Camponotus floridanus ubiquinol-cytochrome-c reductase complex assembly factor 1 (LOC105249885) transcript variant mRNA	ubiquinol-cytochrome-c reductase complex assembly factor 1	gi|322778723|gb|EFZ09139.1|hypothetical protein SINV_01241, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	C:integral component of membrane	none	no	conserved transcript 
SSAE_00053	464	3	Cerapachys biroi uncharacterized LOC105279742 (LOC105279742) ncRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00054	604	6	Solenopsis invicta uncharacterized LOC105206838 (LOC105206838) mRNA	PREDICTED: uncharacterized protein LOC105206838, partial	gi|751241071|ref|XP_011174607.1|PREDICTED: uncharacterized protein LOC105206838, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript
SSAE_00055	386	13	NA	NA	NA	NA	none	unknown	no	No	Allergenic	-	none	none	Unrelated	unrelated unknown Allergenic  
SSAE_00056	635	1	Vollenhovia emeryi sodium potassium calcium exchanger 1-like (LOC105560369) mRNA	sodium potassium calcium exchanger 1-	gi|322786034|gb|EFZ12649.1|hypothetical protein SINV_08187, partial [Solenopsis invicta]	NA	none	blasted	no	Secreted	no	conserved	C:integral component of membrane	none	no	Secreted conserved transcript 
SSAE_00057	1047	3	NA	NA	NA	NA	none	unknown	no	No	Allergenic	-	none	none	no	unknown Allergenic  
SSAE_00058	360	1	NA	golgin subfamily A member 6 6	gi|322789505|gb|EFZ14781.1|hypothetical protein SINV_13664, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_00059	851	3	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00060	715	3	NA	hypothetical protein SINV_09164, partial	gi|322784608|gb|EFZ11489.1|hypothetical protein SINV_09164, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_00061	809	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00062	1232	0	Trachymyrmex zeteki adenosine kinase-like (LOC108723042) transcript variant mRNA	adenosine kinase	gi|751203931|ref|XP_011175499.1|PREDICTED: adenosine kinase [Solenopsis invicta]	ADK_MOUSE Adenosine kinase OS=Mus musculus GN=Adk PE=1 SV=2	E2.7.1.20; adenosine kinase [EC:2.7.1.20]	blasted	no	No	no	conserved	P:AMP biosynthetic process; F:adenosine kinase activity; P:purine ribonucleoside salvage; P:phosphorylation; kinase activity; phosphorylation,phosphotransferase activity alcohol group as acceptor	Adenosine kinase	no	conserved Adenosine kinase 
SSAE_00063	663	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00064	1020	3	Solenopsis invicta venom dipeptidyl peptidase 4-like (LOC105203451) mRNA	THAP domain-containing	gi|1009394983|gb|KYN15927.1|THAP domain-containing protein 9 [Trachymyrmex cornetzi]	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_00065	941	2	Cyphomyrmex costatus LSM12 homolog (LOC108776284) mRNA	NA	NA	NA	none	blasted	no	Secreted	Allergenic	conserved	none	none	no	Secreted Allergenic conserved transcript 
SSAE_00066	656	3	Vollenhovia emeryi uncharacterized LOC105562437 (LOC105562437) transcript variant mRNA	PREDICTED: uncharacterized protein LOC105562437 isoform X1	gi|795046746|ref|XP_011868669.1|PREDICTED: uncharacterized protein LOC105562437 isoform X1 [Vollenhovia emeryi]	NA	kinesin family member 17	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00067	377	1	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript
SSAE_00068	767	3	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	Unrelated	unrelated unknown Secreted conserved transcript
SSAE_00069	1086	0	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	Unrelated	unrelated unknown Allergenic conserved transcript 
SSAE_00070	1784	0	Vollenhovia emeryi carbonic anhydrase-related 10 (LOC105560628) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00071	1365	0	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00072	1353	2	Cerapachys biroi nuclear receptor subfamily 2 group F member 6 (LOC105275823) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00073	650	5	NA	NA	NA	NA	none	unknown	no	Secreted	no	-	none	none	no	unknown Secreted  
SSAE_00074	977	5	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	no	unknown Secreted conserved transcript 
SSAE_00075	516	2	Wasmannia auropunctata epoxide hydrolase 4-like (LOC105451527) mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00076	408	2	Dinoponera quadriceps uncharacterized LOC106748828 (LOC106748828) transcript variant ncRNA	hypothetical protein RF55_18867	gi|861602064|gb|KMQ83885.1|hypothetical protein RF55_18867 [Lasius niger]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00077	1082	3	Solenopsis invicta uncharacterized LOC105204865 (LOC105204865) transcript variant mRNA	NA	NA	NA	none	blasted	no	Secreted	Allergenic	conserved	none	none	no	Secreted Allergenic conserved transcript 
SSAE_00078	529	1	Stenamma megamanni isolate 20007ste ultra conserved element locus uce-484 genomic sequence	integrase core domain-containing	gi|751241732|ref|XP_011174980.1|PREDICTED: uncharacterized protein LOC105207246, partial [Solenopsis invicta]	YMD3_CAEEL uncharacterized transposon-derived OS=Caenorhabditis elegans GN= PE=5 SV=1	none	blasted	no	No	Allergenic	conserved	F:nucleic acid binding; P:DNA integration	none	no	Allergenic conserved transcript 
SSAE_00079	1456	1	Cerapachys biroi insulin receptor (LOC105284680) transcript variant mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00080	479	3	Solenopsis invicta deoxyribose-phosphate aldolase (LOC105202665) mRNA	NA	NA	NA	none	blasted	no	Secreted	no	-	none	none	no	Secreted  
SSAE_00081	341	2	Solenopsis invicta uncharacterized LOC105202922 (LOC105202922) mRNA	PREDICTED: uncharacterized protein LOC105202922	gi|751232577|ref|XP_011169914.1|PREDICTED: uncharacterized protein LOC105202922 [Solenopsis invicta]	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_00082	508	1	NA	PREDICTED: uncharacterized protein LOC105207237, partial	gi|751241709|ref|XP_011174967.1|PREDICTED: uncharacterized protein LOC105207237, partial [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00083	779	3	Trachymyrmex septentrionalis regulator of nonsense transcripts 3B-like (LOC108747732) transcript variant mRNA	Regulator of nonsense transcripts 3A	gi|1009350756|gb|KYM76248.1|Regulator of nonsense transcripts 3A [Atta colombica]	NA	none	blasted	no	No	no	conserved	F:nucleotide binding	none	no	conserved transcript 
SSAE_00084	738	4	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00085	421	1	Trachymyrmex zeteki trichohyalin-like (LOC108724980) mRNA	golgin subfamily A member 6 6	gi|1069663638|ref|XP_018309275.1|PREDICTED: uncharacterized protein LOC108726274 [Trachymyrmex zeteki]	NA	none	blasted	no	No	Allergenic	conserved	none	none	no	Allergenic conserved transcript 
SSAE_00086	385	3	Wasmannia auropunctata intraflagellar transport 140 homolog (LOC105457300) transcript variant mRNA	intraflagellar transport 140 homolog	gi|322784612|gb|EFZ11491.1|hypothetical protein SINV_02594, partial [Solenopsis invicta]	IF140_HUMAN Intraflagellar transport 140 homolog OS=Homo sapiens GN=IFT140 PE=1 SV=1	none	blasted	no	No	no	conserved	C:motile cilium	none	no	conserved transcript 
SSAE_00087	510	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00088	885	1	NA	hypothetical protein X777_09599	gi|607357124|gb|EZA51591.1|hypothetical protein X777_09599 [Cerapachys biroi]	NA	none	blasted	no	No	no	-	none	none	no	similar to 
SSAE_00089	654	0	Homo sapiens isolate subject_C ataxin 10 (SCA10) intron and microsatellite sequence	Cleavage stimulation factor subunit 2	gi|1129208209|gb|OLQ09961.1|Cleavage stimulation factor subunit 2 [Symbiodinium microadriaticum]	XYNA_RUMFL Bifunctional endo-1,4-beta-xylanase OS=Ruminococcus flavefaciens GN=xynA PE=3 SV=1	none	blasted	no	No	Allergenic	unique	none	none	no	contaminant
SSAE_00090	589	3	Monomorium pharaonis uncharacterized LOC105832440 (LOC105832440) transcript variant mRNA	PREDICTED: uncharacterized protein LOC105832440 isoform X1	gi|826433467|ref|XP_012528818.1|PREDICTED: uncharacterized protein LOC105832440 isoform X1 [Monomorium pharaonis]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00091	641	2	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00092	741	2	Solenopsis invicta jmjC domain-containing 4 (LOC105200976) mRNA	NA	NA	NA	none	blasted	no	Secreted	no	-	none	none	no	Secreted  
SSAE_00093	460	5	Solenopsis invicta probable ATP-dependent RNA helicase DDX17 (LOC105199394) mRNA	NA	NA	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00094	698	4	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00095	199	1	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_00096	682	2	Trachymyrmex septentrionalis uncharacterized LOC108751189 (LOC108751189) mRNA	PREDICTED: uncharacterized protein LOC105284839	gi|1134662357|ref|XP_019888978.1|PREDICTED: uncharacterized protein LOC105284839 [Cerapachys biroi]	NA	none	blasted	no	No	no	conserved	P:nucleic acid metabolic process; F:organic cyclic compound binding; F:heterocyclic compound binding	none	no	conserved transcript 
SSAE_00097	491	6	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_00098	760	4	Linepithema humile eukaryotic translation initiation factor 4E-binding 1 (LOC105678562) transcript variant mRNA	eukaryotic translation initiation factor 4E-binding 1	gi|751232109|ref|XP_011169654.1|PREDICTED: eukaryotic translation initiation factor 4E-binding protein 1 [Solenopsis invicta]	NA	none	blasted	eIF_4EBP	Secreted	Allergenic	conserved	F:translation initiation factor activity; P:negative regulation of translational initiation; P:translational initiation; F:eukaryotic initiation factor 4E binding	none	no	Secreted Allergenic conserved eIF_4EBP
SSAE_00099	872	3	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00100	528	5	Solenopsis invicta uncharacterized LOC105202162 (LOC105202162) mRNA	PREDICTED: uncharacterized protein LOC105202162, partial	gi|751230673|ref|XP_011168855.1|PREDICTED: uncharacterized protein LOC105202162, partial [Solenopsis invicta]	NA	none	blasted	no	No	Allergenic	-	F:nucleic acid binding	none	no	Allergenic  
SSAE_00101	278	11	Cerapachys biroi pancreatic lipase-related 2 (LOC105287056) mRNA	NA	NA	NA	none	blasted	no	Secreted	Allergenic	conserved	none	none	no	Secreted Allergenic conserved transcript 
SSAE_00102	391	3	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_00103	646	0	Solenopsis invicta uncharacterized LOC105204504 (LOC105204504) mRNA	PREDICTED: uncharacterized protein LOC105204504	gi|751236148|ref|XP_011171896.1|PREDICTED: uncharacterized protein LOC105204504 [Solenopsis invicta]	NA	none	blasted	no	No	no	conserved	none	none	no	conserved transcript 
SSAE_00104	682	4	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00105	151	4	Homo sapiens BAC clone RP11-101A6 from complete sequence	Uncharacterised	gi|1037157854|emb|SBT54119.1|PIR Superfamily Protein [Plasmodium ovale wallikeri]	NA	none	blasted	no	No	no	-	membrane	none	no	similar to 
SSAE_00106	122	3	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00107	567	7	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript
SSAE_00108	858	3	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	Unrelated	unrelated unknown Secreted conserved transcript 
SSAE_00109	164	2	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00110	713	8	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00111	801	2	NA	NA	NA	NA	none	unknown	no	No	no	conserved	none	none	no	unknown conserved transcript 
SSAE_00112	644	3	NA	NA	NA	NA	none	unknown	no	No	Allergenic	conserved	none	none	no	unknown Allergenic conserved transcript 
SSAE_00113	265	3	Zebrafish DNA sequence from clone DKEY-74F15 in linkage group complete sequence	hypothetical protein LY90DRAFT_632767, partial	gi|1183396597|gb|ORY21444.1|hypothetical protein LY90DRAFT_632767, partial [Neocallimastix californiae]	NA	none	blasted	no	Secreted	Allergenic	conserved	none	none	no	Secreted Allergenic conserved transcript 
SSAE_00114	1447	7	Trachymyrmex septentrionalis RRP5 homolog (LOC108755561) transcript variant mRNA	RRP5 homolog	gi|801398101|ref|XP_012059488.1|PREDICTED: protein RRP5 homolog [Atta cephalotes]	NA	none	blasted	no	No	Allergenic	conserved	F:nucleic acid binding; C:nucleus; P:RNA processing; P:mRNA processing	none	no	Allergenic conserved transcript 
SSAE_00116	157	0	NA	NA	NA	NA	none	unknown	no	No	no	-	none	none	no	unknown transcript  
SSAE_00117	463	2	NA	NA	NA	NA	none	unknown	no	Secreted	no	conserved	none	none	no	unknown Secreted conserved transcript 
SSAE_00118	113	0	NA	NA	NA	NA	none	unknown	no	Secreted	Allergenic	-	none	none	no	unknown Secreted Allergenic  
SSAE_00119	487	2	NA	hypothetical protein SINV_80097, partial	gi|322784811|gb|EFZ11607.1|hypothetical protein SINV_80097, partial [Solenopsis invicta]	NA	none	blasted	no	Secreted	no	-	none	none	no	Secreted  
